time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
2.760000000000002,-5.533791549749674,8.453864710604964,0.0,3.6137096929552985,4.834867125838382,0.0,-3.534978588284399,5.2361166711451705,-9.96605428636923,16.24524083136914,10.081044274487226,0.0,475.7885433215685,634.1655092631331,104.44532253894037,529.3692981076919,1,138.0
2.820000000000002,-5.919650225810804,3.831182517195624,0.0,5.731069077674821,5.634990319338808,0.0,-3.58717057710546,2.3638884370343494,-10.152052238006673,-6.330661127791843,16.527685962756273,0.0,142.18689626570102,498.39287935631876,264.59290554708264,167.9313399961344,2,141.0
0.5400000000000001,-0.334718400374051,-0.029388556933095073,0.0,5.377993460118191,5.295550369297414,0.0,-0.2896903483337342,-0.08891648901700927,-5.447373128729791,-10.250683495546557,14.717112450225839,0.0,68.8444032208326,458.73787770783184,422.7380148175075,130.6808890013766,3,27.0
0.5400000000000001,-0.33179247410273627,-0.04425868055495095,0.0,5.20389877488577,4.082051365341533,0.0,-0.8616339465847105,0.03059012199848831,-5.054538366656186,-9.493127003001009,13.677048606240044,0.0,71.551429887911,379.79726229422874,375.81243814831396,96.66506438710068,4,27.0
0.5400000000000001,-0.38019904224089796,0.040562899483369996,0.0,5.2243267063503165,5.816538818539399,0.0,-0.5596582353467812,-0.15782198811557496,-5.1558038664727865,-9.673148109310151,9.300618113142614,0.0,73.30058409551019,242.35184983431705,369.1532241117474,67.66603459652204,5,27.0
0.6000000000000002,-0.5734516984222194,0.3144414657128397,0.0,4.888111285571803,3.703882334321893,0.0,-1.7442225427504854,0.9237533403961823,-5.643596108918633,-11.331444548303878,6.34941099113089,0.0,102.45221591538574,174.09066872138544,439.799722731209,68.41712798853288,6,30.0
0.6000000000000002,-0.29967945406639124,0.6212749310391691,0.0,5.328101937606437,1.4469302416109864,0.0,-1.5841654979293074,1.5656678872944747,-4.49304676395327,-13.49528427502175,3.1621770781095675,0.0,98.32258448585114,117.19391329937862,521.454715885822,58.06613248747617,7,30.0
0.5400000000000001,-0.059034054087007494,0.5288382481807644,0.0,5.764368292519288,0.5602801617834459,0.0,-0.5012956951713636,1.750642168230747,-4.498233386374177,-11.213098091269758,2.169591342291989,0.0,323.3465916077504,386.31197867949066,429.7398664977451,300.790180772799,8,27.0
0.5400000000000001,-0.07140082423854008,0.4609736219769263,0.0,5.596042687033373,0.8139601251824455,0.0,-0.6442225193750017,1.4418284583993903,-4.449877809195998,-11.146097472427682,2.9989091261146035,0.0,279.08349722737563,356.6335847557512,449.17407045166806,276.92780412294854,9,27.0
0.5400000000000001,-0.13052752741054077,0.3729101294369317,0.0,5.370929477040594,1.4894913461713077,0.0,-0.8845294090897297,1.1096285532823282,-4.441747968334031,-10.595108492588203,4.396266459251751,0.0,73.78425985558845,200.1181146346191,376.84997820876634,73.32068042838007,10,27.0
0.6000000000000002,-0.26934869403113265,0.3131620972340628,0.0,4.657853699921308,2.9701851551188536,0.0,-1.1159283823624098,0.8373466448699206,-5.287372811558803,-9.051828087849406,6.093459869747846,0.0,15.92045207327378,172.7539728278893,279.91471508900236,16.963111742621393,11,30.0
0.5400000000000001,-0.24981648177282736,0.15589168876097415,0.0,5.138606614447838,3.910323554756104,0.0,-0.8450113640211253,0.4218136727030163,-5.085552541112086,-8.075226845896713,8.018307828854109,0.0,7.131019628885725,245.25666100885104,208.99920363086554,8.36237242307,12,27.0
0.5400000000000001,-0.1962505140128545,0.025192239795216353,0.0,5.1278462224960535,0.20780280541069374,0.0,-0.2673041568149492,-0.14753864257504767,-5.17513030955932,-6.500221229096731,11.141376492684296,0.0,4.223583651160473,356.3678126628717,166.83372762480244,3.9491815637072523,13,27.0
0.5400000000000001,-0.13140785620631715,-0.024236355854438996,0.0,5.120604061909411,6.06171761243845,0.0,0.1194972435071898,-0.16510799047534058,-5.287072406339703,-5.755161011084343,16.82283298618831,0.0,4.169299757487586,542.2519206590617,171.57731251271244,5.77248612804657,14,27.0
0.5400000000000001,-0.1661517427338328,-0.03704234930543228,0.0,5.144209628802683,5.3149590321463,0.0,-0.22195496915294938,0.0782457776462946,-5.512615281878709,-6.522305944838753,22.675869665087145,0.0,3.274729330506895,738.0630139331906,176.3782724728588,7.1002474256350965,15,27.0
0.48000000000000015,-0.056291204413824375,-0.016252382897097014,0.0,5.474807910122129,0.1310001275284698,0.0,0.4185889901842186,-0.14246184672419854,-4.948175283189057,-6.116189159355988,25.739524389914322,0.0,1.227376794672932,839.8751685827095,207.09551401340676,5.065983979687766,16,24.0
0.5400000000000001,0.04845451185065692,-0.04191454037670773,0.0,5.411206710260441,4.032566394867667,0.0,-0.20421650923110268,0.14262820439382495,-5.389862716779728,-10.559334652867532,27.19410384089173,0.0,0.47319146037582427,879.9996866890605,363.2949736104355,8.406356406879603,17,27.0
0.5400000000000001,0.05539733472768742,-0.04820242586272995,0.0,6.262860525028324,1.9060705056558263,0.0,0.03992929241869503,-0.04100358684351302,-4.559462818031274,-13.53263371085786,27.68916128303395,0.0,18.152134323425624,862.8301016050154,504.0754058721918,92.56764213214146,18,27.0
0.6000000000000002,0.15118687024556496,-0.07807037035640987,0.0,4.10700359144646,0.48824055742413464,0.0,1.1621526704059064,-0.3422630105944766,-5.827136291570426,-24.166980701076763,28.45671532373776,0.0,0.7577042763910871,897.193817749127,812.162580479074,12.389057547514044,19,30.0
